,meteorite_name,recclass,mass_g,impact_year,retclat,reclong
256,Dwaleni,H4-6,"3,230",1970,-27.2,31.31667
257,Dyalpur,Ureilite,300,1872,26.25,82
258,Dyarrl Island,Mesosiderite-A1,188,1933,-3,151
259,Eagle,EL6,"10,000",1947,40.78167,-96.47167
260,Ehole,H5,"2,400",1961,-17.3,15.83333
261,Eichstädt,H5,"3,000",1785,48.9,11.21667
262,Ekeby,H4,"3,336",1939,56.03333,13
263,Ekh Khera,H6,840,1916,28.26667,78.78333
264,El Idrissia,L6,"10,000",1989,34.41667,3.25
265,El Paso de Aguila,H5,"17,226",1977,25.37,-97.37
266,El Tigre,L6,"5,000",1993,19.96722,-103.05167
267,Elbert,LL6,680.5,1998,39.24667,-104.58817
268,Elbogen,"Iron, IID","107,000",1399,50.18333,12.73333
269,Elenovka,L5,"54,640",1951,47.83333,37.66667
270,Ellemeet,Diogenite,"1,470",1925,51.75,4
271,Emmaville,Eucrite-mmict,127,1900,-29.46667,151.61667
272,Enshi,H5,"8,000",1974,30.3,109.5
273,Ensisheim,LL6,"127,000",1491,47.86667,7.35
274,Épinal,H5,277,1822,48.18333,6.46667
275,Erakot,CM2,113,1940,19.03333,81.89167
276,Erevan,Howardite,107.2,1911,40.3,44.5
277,Ergheo,L5,"20,000",1889,1.16667,44.16667
278,Erxleben,H6,"2,250",1812,52.21667,11.25
279,Esnandes,L6,"1,500",1837,46.25,-1.1
280,Essebi,C2-ung,500,1957,2.88333,30.83333
281,Estherville,Mesosiderite-A3/4,"320,000",1879,43.41667,-94.83333
282,Farmington,L5,"89,400",1890,39.75,-97.03333
283,Farmville,H4,"56,000",1934,35.55,-77.53333
284,Favars,H5,"1,500",1844,44.38333,2.81667
285,Fayetteville,H4,"2,360",1934,36.05,-94.16667
286,Feid Chair,H4,380,1875,36.88333,8.45
287,Felix,CO3.3,"3,200",1900,32.53333,-87.16667
288,Fenghsien-Ku,H5,82,1924,34.6,116.75
289,Ferguson,OC,220,1889,36.1,-81.41667
290,Fermo,H3-5,"10,200",1996,43.18111,13.75333
291,Fisher,L6,"17,600",1894,47.81667,-96.85
292,Florence,H3,"3,640",1922,30.83333,-97.76667
293,Forest City,H5,"152,000",1890,43.25,-93.66667
294,Forest Vale,H4,"26,000",1942,-33.35,146.85833
295,Forksville,L6,"6,067",1924,36.78333,-78.08333
296,Forsbach,H6,240,1900,50.95,7.31667
