,meteorite_name,recclass,mass_g,impact_year,retclat,reclong
19294,MacAlpine Hills 02707,LL5,7.94,2002,-84.21667,160.5
19295,MacAlpine Hills 02708,H5,1.19,2002,-84.21667,160.5
19296,MacAlpine Hills 02709,LL6,0.28,2002,-84.21667,160.5
19297,MacAlpine Hills 02750,L-imp melt,9.1,2002,-84.21667,160.5
19298,MacAlpine Hills 02751,H5,2.1,2002,-84.21667,160.5
19299,MacAlpine Hills 02752,L5,19.4,2002,-84.21667,160.5
19300,MacAlpine Hills 02753,L5,9.7,2002,-84.21667,160.5
19301,MacAlpine Hills 02754,H5,14.1,2002,-84.21667,160.5
19302,MacAlpine Hills 02756,L5,11.8,2002,-84.21667,160.5
19303,MacAlpine Hills 02757,H5,1.1,2002,-84.21667,160.5
19304,MacAlpine Hills 02758,L5,1.2,2002,-84.21667,160.5
19305,MacAlpine Hills 02759,H5,1.9,2002,-84.21667,160.5
19306,MacAlpine Hills 02830,H5,321.4,2002,-84.21667,160.5
19307,MacAlpine Hills 02831,H5,142.6,2002,-84.21667,160.5
19308,MacAlpine Hills 02832,H5,148.1,2002,-84.21667,160.5
19309,MacAlpine Hills 02833,H3.7,134.1,2002,-84.21667,160.5
19310,MacAlpine Hills 02834,H6,125.4,2002,-84.21667,160.5
19311,MacAlpine Hills 02835,H6,66.7,2002,-84.21667,160.5
19312,MacAlpine Hills 02836,H6,63,2002,-84.21667,160.5
19313,MacAlpine Hills 02837,EL3,188.6,2002,-84.21667,160.5
19314,MacAlpine Hills 02838,L5,157.2,2002,-84.21667,160.5
19315,MacAlpine Hills 02839,EL3,110.4,2002,-84.21667,160.5
19316,MacAlpine Hills 87303,L4,254.2,1987,-84.21667,160.5
19317,MacAlpine Hills 87304,L6,"1,433",1987,-84.21667,160.5
19318,MacAlpine Hills 87302,L4,"1,094.60",1987,-84.21667,160.5
19319,MacAlpine Hills 87300,C2-ung,167.5,1987,-84.21667,160.5
19320,MacAlpine Hills 87301,C3-ung,110.9,1987,-84.21667,160.5
19321,MacAlpine Hills 87305,L4,"1,244.20",1987,-84.21667,160.5
19322,MacAlpine Hills 87306,L4,"1,198.70",1987,-84.21667,160.5
19323,MacAlpine Hills 87307,H4,"1,055.60",1987,-84.21667,160.5
19324,MacAlpine Hills 87308,L6,770.8,1987,-84.21667,160.5
19325,MacAlpine Hills 87309,L6,684.7,1987,-84.21667,160.5
19326,MacAlpine Hills 87310,L4,411,1987,-84.21667,160.5
19327,MacAlpine Hills 87311,H4,312.8,1987,-84.21667,160.5
19328,MacAlpine Hills 87312,H5,322.5,1987,-84.21667,160.5
19329,MacAlpine Hills 87313,H5,430,1987,-84.21667,160.5
19330,MacAlpine Hills 87314,L6,319.3,1987,-84.21667,160.5
19331,MacAlpine Hills 87315,H6,219.1,1987,-84.21667,160.5
19332,MacAlpine Hills 87316,L6,13.3,1987,-84.21667,160.5
19333,MacAlpine Hills 87317,LL6,120.5,1987,-84.21667,160.5
19334,MacAlpine Hills 87318,LL6,196.9,1987,-84.21667,160.5
19335,MacAlpine Hills 87319,H5,86.2,1987,-84.21667,160.5
19336,MacAlpine Hills 87320,CR2,16.2,1987,-84.21667,160.5
19337,MacAlpine Hills 88100,CM2,177.3,1988,-84.21667,160.5
19338,MacAlpine Hills 88101,CM2,20.9,1988,-84.21667,160.5
19339,MacAlpine Hills 88102,Mesosiderite,754.3,1988,-84.21667,160.5
19340,MacAlpine Hills 88103,H5,20.4,1988,-84.21667,160.5
19341,MacAlpine Hills 88104,Lunar (anorth),61.2,1988,-84.21667,160.5
19342,MacAlpine Hills 88105,Lunar (anorth),662.5,1988,-84.21667,160.5
19343,MacAlpine Hills 88106,LL6,26.7,1988,-84.21667,160.5
19344,MacAlpine Hills 88107,C3-ung,192.8,1988,-84.21667,160.5
19345,MacAlpine Hills 88108,H5,"6,988.40",1988,-84.21667,160.5
19346,MacAlpine Hills 88109,L5,"4,112.10",1988,-84.21667,160.5
19347,MacAlpine Hills 88110,H5,"5,369.90",1988,-84.21667,160.5
19348,MacAlpine Hills 88111,H4,"6,441.50",1988,-84.21667,160.5
19349,MacAlpine Hills 88112,L6,"1,288",1988,-84.21667,160.5
19350,MacAlpine Hills 88113,LL6,752.2,1988,-84.21667,160.5
19351,MacAlpine Hills 88114,H5,844.4,1988,-84.21667,160.5
19352,MacAlpine Hills 88115,H5,"2,247.30",1988,-84.21667,160.5
19353,MacAlpine Hills 88116,H5,"1,453",1988,-84.21667,160.5
19354,MacAlpine Hills 88117,L6,"1,103.80",1988,-84.21667,160.5
19355,MacAlpine Hills 88118,L5,"1,142.30",1988,-84.21667,160.5
19356,MacAlpine Hills 88119,H5,920.8,1988,-84.21667,160.5
19357,MacAlpine Hills 88120,H5,718.7,1988,-84.21667,160.5
19358,MacAlpine Hills 88121,L6,318.7,1988,-84.21667,160.5
19359,MacAlpine Hills 88122,L/LL5,345.3,1988,-84.21667,160.5
19360,MacAlpine Hills 88123,H6,180.3,1988,-84.21667,160.5
19361,MacAlpine Hills 88124,H4,201.1,1988,-84.21667,160.5
19362,MacAlpine Hills 88125,H6,213.5,1988,-84.21667,160.5
19363,MacAlpine Hills 88126,L6,293.9,1988,-84.21667,160.5
19364,MacAlpine Hills 88127,L5,204.1,1988,-84.21667,160.5
19365,MacAlpine Hills 88128,H5,233.7,1988,-84.21667,160.5
19366,MacAlpine Hills 88129,H5,200.5,1988,-84.21667,160.5
19367,MacAlpine Hills 88130,H6,223.7,1988,-84.21667,160.5
19368,MacAlpine Hills 88131,H6,175.6,1988,-84.21667,160.5
19369,MacAlpine Hills 88132,H6,151.5,1988,-84.21667,160.5
19370,MacAlpine Hills 88133,H6,137.6,1988,-84.21667,160.5
19371,MacAlpine Hills 88134,H5,159.8,1988,-84.21667,160.5
19372,MacAlpine Hills 88135,H5,101.6,1988,-84.21667,160.5
19373,MacAlpine Hills 88136,EL3,74.4,1988,-84.21667,160.5
19374,MacAlpine Hills 88137,L6,105.1,1988,-84.21667,160.5
19375,MacAlpine Hills 88138,H5,115.6,1988,-84.21667,160.5
19376,MacAlpine Hills 88139,H5,91.8,1988,-84.21667,160.5
19377,MacAlpine Hills 88140,L6,30,1988,-84.21667,160.5
19378,MacAlpine Hills 88141,H4,61.1,1988,-84.21667,160.5
19379,MacAlpine Hills 88142,L6,16.6,1988,-84.21667,160.5
19380,MacAlpine Hills 88143,H5,33.6,1988,-84.21667,160.5
19381,MacAlpine Hills 88144,H6,10.4,1988,-84.21667,160.5
19382,MacAlpine Hills 88145,H4,11.7,1988,-84.21667,160.5
19383,MacAlpine Hills 88146,H4,10.6,1988,-84.21667,160.5
19384,MacAlpine Hills 88147,H5,98.4,1988,-84.21667,160.5
19385,MacAlpine Hills 88148,L6,76.9,1988,-84.21667,160.5
19386,MacAlpine Hills 88149,H6,52.5,1988,-84.21667,160.5
19387,MacAlpine Hills 88150,H6,41.2,1988,-84.21667,160.5
19388,MacAlpine Hills 88151,H4,41.3,1988,-84.21667,160.5
19389,MacAlpine Hills 88152,H5,80,1988,-84.21667,160.5
19390,MacAlpine Hills 88153,H4,24.9,1988,-84.21667,160.5
19391,MacAlpine Hills 88154,H6,79.1,1988,-84.21667,160.5
19392,MacAlpine Hills 88155,L6,21.9,1988,-84.21667,160.5
19393,MacAlpine Hills 88156,L6,69.2,1988,-84.21667,160.5
19394,MacAlpine Hills 88157,H6,88.2,1988,-84.21667,160.5
19395,MacAlpine Hills 88158,H5,42.6,1988,-84.21667,160.5
19396,MacAlpine Hills 88159,L6,147.5,1988,-84.21667,160.5
19397,MacAlpine Hills 88160,H5,30.8,1988,-84.21667,160.5
19398,MacAlpine Hills 88161,H4,14.3,1988,-84.21667,160.5
19399,MacAlpine Hills 88162,L6,112.9,1988,-84.21667,160.5
19400,MacAlpine Hills 88163,H5,106.2,1988,-84.21667,160.5
19401,MacAlpine Hills 88164,H5,113.3,1988,-84.21667,160.5
19402,MacAlpine Hills 88165,H5,52.7,1988,-84.21667,160.5
19403,MacAlpine Hills 88166,H5,94,1988,-84.21667,160.5
19404,MacAlpine Hills 88167,H5,38.1,1988,-84.21667,160.5
19405,MacAlpine Hills 88168,L6,31.3,1988,-84.21667,160.5
19406,MacAlpine Hills 88169,H5,5.9,1988,-84.21667,160.5
19407,MacAlpine Hills 88170,L6,58.1,1988,-84.21667,160.5
19408,MacAlpine Hills 88171,H4,17,1988,-84.21667,160.5
19409,MacAlpine Hills 88172,L6,37,1988,-84.21667,160.5
19410,MacAlpine Hills 88173,L6,126.4,1988,-84.21667,160.5
19411,MacAlpine Hills 88174,H3.5,98.4,1988,-84.21667,160.5
19412,MacAlpine Hills 88175,LL6,128.1,1988,-84.21667,160.5
19413,MacAlpine Hills 88176,CM2,37.9,1988,-84.21667,160.5
19414,MacAlpine Hills 88177,Lodranite,35.3,1988,-84.21667,160.5
19415,MacAlpine Hills 88178,L6,28.1,1988,-84.21667,160.5
19416,MacAlpine Hills 88179,H5,19.2,1988,-84.21667,160.5
19417,MacAlpine Hills 88180,EL3,26.6,1988,-84.21667,160.5
19418,MacAlpine Hills 88181,L6,84.4,1988,-84.21667,160.5
19419,MacAlpine Hills 88182,L6,31.5,1988,-84.21667,160.5
19420,MacAlpine Hills 88183,H5,62.2,1988,-84.21667,160.5
19421,MacAlpine Hills 88184,EL3,20.6,1988,-84.21667,160.5
19422,MacAlpine Hills 88185,H5,12.7,1988,-84.21667,160.5
19423,MacAlpine Hills 88186,H5,20.7,1988,-84.21667,160.5
19424,MacAlpine Hills 88187,L6,94.7,1988,-84.21667,160.5
19425,MacAlpine Hills 88188,H4,14,1988,-84.21667,160.5
19426,MacAlpine Hills 88189,H5,31.4,1988,-84.21667,160.5
19427,MacAlpine Hills 88190,H5,49.8,1988,-84.21667,160.5
19428,MacAlpine Hills 88191,H6,73.6,1988,-84.21667,160.5
19429,MacAlpine Hills 88192,H5,41.3,1988,-84.21667,160.5
19430,MacAlpine Hills 88193,L6,137.5,1988,-84.21667,160.5
19431,MacAlpine Hills 88194,L6,17.2,1988,-84.21667,160.5
19432,MacAlpine Hills 88195,H5,71.6,1988,-84.21667,160.5
19433,MacAlpine Hills 88196,H5,107.9,1988,-84.21667,160.5
19434,MacAlpine Hills 88197,L6,66,1988,-84.21667,160.5
19435,MacAlpine Hills 88198,H5,36.9,1988,-84.21667,160.5
19436,MacAlpine Hills 88199,L3.3,28.9,1988,-84.21667,160.5
19437,MacAlpine Hills 88200,H4,35.1,1988,-84.21667,160.5
19438,MacAlpine Hills 88201,H6,40.4,1988,-84.21667,160.5
19439,MacAlpine Hills 88202,LL5,2.3,1988,-84.21667,160.5
19440,MacAlpine Hills 88203,H5,36.9,1988,-84.21667,160.5
19441,MacAlpine Hills 88204,H5,34.4,1988,-84.21667,160.5
19442,MacKay Glacier 92500,CM2,23.4,1992,-76.96667,162
19443,MacKay Glacier 92501,L5,4.4,1992,-76.96667,162
19444,MacKay Glacier 92502,CM2,0.7,1992,-76.96667,162
19445,MacKay Glacier 92503,H5,7.7,1992,-76.96667,162
19446,Macy,L6,"42,000",1984,34.21667,-103.91667
19447,Madoc,"Iron, IIIAB","168,000",1854,44.5,-77.46667
19448,Mafuta,"Iron, IID","71,500",1984,-16.9025,30.40722
19449,Magura,"Iron, IAB-MG","150,000",1840,49.33333,19.48333
19450,Mainz,L6,"1,700",1852,50,8.26667
19451,Majdul 001,L6,680,1994,25.59567,15.4225
19452,Majuba,L5,370,1999,40.6265,-118.41033
19453,Majuba 002,H4,"2,420",2003,40.62832,-118.4167
19454,Majuba 003,H4,"1,306",2003,40.63078,-118.40918
19455,Majuba 007,H4,"1,823.30",2007,40.61667,-118.38472
19456,Makarewa,L6,"2,300",1879,-46.31667,168.4
19457,Maldyak,"Iron, IIIAB",992,1939,63.33333,148.16667
19458,Maltahöhe,"Iron, IAB-sLM","22,270",1991,-24.91667,16.98333
19459,Mandalay Spring,L6,"2,854",2012,40.89201,-118.55319
19460,Mangalo,L6,"1,050",1975,-33.56667,136.65
19461,Mangum,H4,750,2008,34.849,-99.704
19462,Manitouwabing,"Iron, IIIAB","39,000",1962,45.44,-79.87556
19463,Manlai,"Iron, ungrouped","166,800",1954,44.33333,106.5
19464,Mantos Blancos,"Iron, IVA","10,300",1876,-23.45,-70.11667
19465,Mapleton,"Iron, IIIAB","49,000",1939,42.18333,-95.71667
19466,Maralinga,CK4-an,"3,388",1974,-30.3,131.26667
19467,Marburg,Pallasite,"3,000",1906,50.81667,8.76667
19468,Marengo,L6,68,1991,42.29111,-88.62556
19469,Maria da Fé,"Iron, IVA","18,000",1987,-22.3,-45.36667
19470,Maria Elena (1935),"Iron, IVA","15,500",1935,-22.33333,-69.66667
19471,Maricopa,H,50,1980,33.25,-112.05
19472,Mar'inka,"Iron, IIAB",144,1976,47.9,37.5
19473,Marion (Kansas),L5,"2,890",1955,38.36667,-97.03333
19474,Markovka,H4,"54,200",1967,52.4,79.8
19475,Markovka (b),L5,207,2003,52.42405,79.68128
19476,Marlow,L5,"68,000",1936,34.6,-97.91667
19477,Maroo,LL6,236,1991,-25.73333,142.95
19478,Marshall County,"Iron, IIIAB","6,800",1860,37,-88.25
19479,Marsland,H5,"6,850",1933,42.45,-103.3
19480,Mart,"Iron, IVA","7,140",1898,31.5,-96.88333
19481,Maslyanino,"Iron, IAB complex","26,000",1992,54.25,84.33333
19482,Mason 001,H5,113.3,1977,-29.95,128.08333
19483,Massenya,H5,612.4,1958,11.35,16.15
19484,Matsitama,H4/5,187,1999,-21.0909,26.4859
19485,Mayday,H4,"6,900",1955,39.47444,-96.925
19486,Mayerthorpe,"Iron, IAB complex","12,610",1964,53.775,-115.03333
19487,Mayfield,H4,"38,400",1972,37.30833,-97.545
19488,Mayodan,"Iron, IIAB","15,400",1920,36.38333,-79.86667
19489,Mbosi,"Iron, ungrouped","16,000,000",1930,-9.11667,33.06667
19490,McAddo,L6,"1,100",1935,33.75,-100.93333
19491,McCook,L6,"3,602",1965,40.02,-100.78333
19492,McCracken,H4/5,"1,530",1980,38.525,-99.81
19493,McKenzie Draw (a),H4,"11,800",1989,32.925,-102.625
19494,McKenzie Draw (b),H4,"2,990",1989,32.925,-102.625
19495,McKinney,L4,"150,000",1870,33.18333,-96.71667
19496,McLean,H6,"4,300",1939,35.23333,-100.6
19497,Meadow (a),H5,"1,495",1975,33.33139,-102.26889
19498,Meadow (b),L6,691,1981,33.33139,-102.26889
19499,Mejillones,"Iron, IIAB","14,830",1875,-23.1,-70.5
19500,Mellenbye,LL6,"1,181.60",1929,-28.85,116.28333
19501,Melnikovo,LL6,545.6,1983,49.78333,35.6
19502,Melrose (a),L5,"36,400",1933,34.38333,-103.61667
19503,Melrose (b),Howardite,50.5,1971,34.39833,-103.605
19504,Melvern Lake,H5,"7,746",1950,38.525,-95.78056
19505,Menindee Lakes 001,L6,747,1969,-33.16667,141.75
19506,Menindee Lakes 002,H5,270,1969,-32.91667,141.88333
19507,Menindee Lakes 003,L6,172,1969,-32.91667,141.88333
19508,Menindee Lakes 004,L6,158.5,1969,-33.13333,141.71667
19509,Menindee Lakes 005,H5,72.9,1969,-32.91667,141.88333
19510,Menindee Lakes 006,H6,68.2,1969,-32.91667,141.88333
19511,Mercedes,H5,"3,301",1994,-34.66667,-59.33333
19512,Merceditas,"Iron, IIIAB","42,900",1884,-26.33333,-70.28333
19513,Mereta,H4,"1,417.50",1941,31.42611,-100.13333
19514,Mertzon,"Iron, IAB-ung","3,720",1943,31.26667,-100.83333
19515,Merweville,L5,"6,970",1977,-32.75833,21.68333
19516,Mesa Verde Park,"Iron, IAB-ung","3,500",1922,37.16667,-108.5
19517,Metameur 001,LL6,748,2005,33.35,10.4
19518,Metameur 002,H4,17,2005,33.35,10.43333
19519,Metameur 003,L4,126,2005,33.40333,10.45833
19520,Metameur 004,H6,10,2010,33.25027,10.38917
19521,Meteorite Hills 001000,L5,16.3,2000,-79.68333,159.75
19522,Meteorite Hills 001001,L5,4.8,2000,-79.68333,159.75
19523,Meteorite Hills 001002,H6,17.9,2000,-79.68333,159.75
19524,Meteorite Hills 001003,L6,13.4,2000,-79.68333,159.75
19525,Meteorite Hills 001004,L5,27,2000,-79.68333,159.75
19526,Meteorite Hills 001005,LL5,29.3,2000,-79.68333,159.75
19527,Meteorite Hills 001006,L5,10.6,2000,-79.68333,159.75
19528,Meteorite Hills 001007,L5,18.4,2000,-79.68333,159.75
19529,Meteorite Hills 001008,H6,10.7,2000,-79.68333,159.75
19530,Meteorite Hills 001009,L5,19.1,2000,-79.68333,159.75
19531,Meteorite Hills 001010,LL6,1.1,2000,-79.68333,159.75
19532,Meteorite Hills 001011,LL5,11.6,2000,-79.68333,159.75
19533,Meteorite Hills 001012,CM2,7.1,2000,-79.68333,155.75
19534,Meteorite Hills 001013,H6,10.1,2000,-79.68333,159.75
19535,Meteorite Hills 001014,H5,10.4,2000,-79.68333,159.75
19536,Meteorite Hills 001015,H6,22,2000,-79.68333,159.75
19537,Meteorite Hills 001016,H5,11.5,2000,-79.68333,159.75
19538,Meteorite Hills 001017,H6,18.7,2000,-79.68333,159.75
19539,Meteorite Hills 001018,H6,11.5,2000,-79.68333,159.75
19540,Meteorite Hills 001019,H5,23,2000,-79.68333,159.75
19541,Meteorite Hills 001020,L5,55.9,2000,-79.68333,159.75
19542,Meteorite Hills 001021,LL5,23,2000,-79.68333,159.75
19543,Meteorite Hills 001022,H5,19.3,2000,-79.68333,159.75
19544,Meteorite Hills 001023,LL6,35.4,2000,-79.68333,159.75
19545,Meteorite Hills 001024,LL6,19.7,2000,-79.68333,159.75
19546,Meteorite Hills 001025,LL5,31.7,2000,-79.68333,159.75
19547,Meteorite Hills 001026,L5,51.4,2000,-79.68333,159.75
19548,Meteorite Hills 001027,H5,18.2,2000,-79.68333,159.75
19549,Meteorite Hills 001028,H6,7.3,2000,-79.68333,159.75
19550,Meteorite Hills 001029,H5,34.8,2000,-79.68333,159.75
19551,Meteorite Hills 001030,H6,20.7,2000,-79.68333,159.75
19552,Meteorite Hills 001031,Mesosiderite,6.3,2000,-79.68333,159.75
19553,Meteorite Hills 001032,H6,9.7,2000,-79.68333,159.75
19554,Meteorite Hills 001033,H6,16.7,2000,-79.68333,159.75
19555,Meteorite Hills 001034,LL5,29.9,2000,-79.68333,159.75
19556,Meteorite Hills 001035,H6,22.6,2000,-79.68333,159.75
19557,Meteorite Hills 001036,H6,35.9,2000,-79.68333,159.75
19558,Meteorite Hills 001037,H6,18.1,2000,-79.68333,159.75
19559,Meteorite Hills 001038,"Iron, ungrouped",3.69,2000,-79.68333,155.75
19560,Meteorite Hills 001039,H6,27.7,2000,-79.68333,159.75
19561,Meteorite Hills 001040,L5,43.3,2000,-79.68333,159.75
19562,Meteorite Hills 001041,H6,11.6,2000,-79.68333,159.75
19563,Meteorite Hills 001042,H6,25.1,2000,-79.68333,159.75
19564,Meteorite Hills 001043,H6,58.8,2000,-79.68333,159.75
19565,Meteorite Hills 001044,H6,12.6,2000,-79.68333,159.75
19566,Meteorite Hills 001045,H6,7.2,2000,-79.68333,159.75
19567,Meteorite Hills 001046,LL5,6.6,2000,-79.68333,159.75
19568,Meteorite Hills 001047,H5,22.9,2000,-79.68333,159.75
19569,Meteorite Hills 001048,H6,11,2000,-79.68333,159.75
19570,Meteorite Hills 001049,H4,37.6,2000,-79.68333,159.75
19571,Meteorite Hills 001050,LL6,67.6,2000,-79.68333,159.75
19572,Meteorite Hills 001051,H6,11.2,2000,-79.68333,159.75
19573,Meteorite Hills 001052,L6,26.5,2000,-79.68333,159.75
19574,Meteorite Hills 001053,L5,17.6,2000,-79.68333,159.75
19575,Meteorite Hills 001054,H6,4.8,2000,-79.68333,159.75
19576,Meteorite Hills 001055,L5,6.8,2000,-79.68333,159.75
19577,Meteorite Hills 001056,H5,18.7,2000,-79.68333,159.75
19578,Meteorite Hills 001057,LL6,27.5,2000,-79.68333,159.75
19579,Meteorite Hills 001058,LL6,37.4,2000,-79.68333,159.75
19580,Meteorite Hills 001059,H6,26.4,2000,-79.68333,159.75
19581,Meteorite Hills 001060,Diogenite,9.84,2000,-79.68333,155.75
19582,Meteorite Hills 001061,H6,23.1,2000,-79.68333,159.75
19583,Meteorite Hills 001062,H6,40.7,2000,-79.68333,159.75
19584,Meteorite Hills 001063,L6,12.7,2000,-79.68333,159.75
19585,Meteorite Hills 001064,H6,14.2,2000,-79.68333,159.75
19586,Meteorite Hills 001065,H6,10.1,2000,-79.68333,159.75
19587,Meteorite Hills 001066,H6,19.6,2000,-79.68333,159.75
19588,Meteorite Hills 001067,H5,33.4,2000,-79.68333,159.75
19589,Meteorite Hills 001068,L5,7.2,2000,-79.68333,159.75
19590,Meteorite Hills 001069,H6,10.6,2000,-79.68333,159.75
19591,Meteorite Hills 001070,LL5,6.8,2000,-79.68333,159.75
19592,Meteorite Hills 001071,L5,7.5,2000,-79.68333,159.75
19593,Meteorite Hills 001072,LL6,34.2,2000,-79.68333,159.75
19594,Meteorite Hills 001073,H6,32,2000,-79.68333,159.75
19595,Meteorite Hills 001074,H6,19.7,2000,-79.68333,159.75
19596,Meteorite Hills 001075,H6,7.1,2000,-79.68333,159.75
19597,Meteorite Hills 001076,H6,8.6,2000,-79.68333,159.75
19598,Meteorite Hills 001077,H6,40.6,2000,-79.68333,159.75
19599,Meteorite Hills 001078,L6,22.6,2000,-79.68333,159.75
19600,Meteorite Hills 001079,LL6,18.6,2000,-79.68333,159.75
19601,Meteorite Hills 001080,L6,9.3,2000,-79.68333,159.75
19602,Meteorite Hills 001081,H5,8.3,2000,-79.68333,159.75
19603,Meteorite Hills 001082,LL5,17,2000,-79.68333,159.75
19604,Meteorite Hills 001083,LL5,9.7,2000,-79.68333,159.75
19605,Meteorite Hills 001084,LL5,8.3,2000,-79.68333,159.75
19606,Meteorite Hills 001085,H5,29.5,2000,-79.68333,159.75
19607,Meteorite Hills 001086,LL5,9.8,2000,-79.68333,159.75
19608,Meteorite Hills 001087,CM2,1.6,2000,-79.68333,155.75
19609,Meteorite Hills 001088,H6,34.2,2000,-79.68333,159.75
19610,Meteorite Hills 001089,H6,21,2000,-79.68333,159.75
19611,Meteorite Hills 001090,H6,33.6,2000,-79.68333,159.75
19612,Meteorite Hills 001091,H6,25.7,2000,-79.68333,159.75
19613,Meteorite Hills 001092,H5,0.6,2000,-79.68333,159.75
19614,Meteorite Hills 001093,L5,12.4,2000,-79.68333,159.75
19615,Meteorite Hills 001094,H5,14.5,2000,-79.68333,159.75
19616,Meteorite Hills 001095,H5,8.9,2000,-79.68333,159.75
19617,Meteorite Hills 001096,LL5,17.9,2000,-79.68333,159.75
19618,Meteorite Hills 001097,L6,36.2,2000,-79.68333,159.75
19619,Meteorite Hills 001098,L6,9.3,2000,-79.68333,159.75
19620,Meteorite Hills 001099,H6,16.3,2000,-79.68333,159.75
19621,Meteorite Hills 001100,L6,15.1,2000,-79.68333,159.75
19622,Meteorite Hills 001101,H6,36.8,2000,-79.68333,159.75
19623,Meteorite Hills 001102,H5,7.1,2000,-79.68333,159.75
19624,Meteorite Hills 001103,H6,22.9,2000,-79.68333,159.75
19625,Meteorite Hills 001104,H5,19.8,2000,-79.68333,159.75
19626,Meteorite Hills 001105,LL5,10.6,2000,-79.68333,159.75
19627,Meteorite Hills 001106,LL4,45.7,2000,-79.68333,159.75
19628,Meteorite Hills 001107,H6,16.3,2000,-79.68333,159.75
19629,Meteorite Hills 001108,LL6,20.2,2000,-79.68333,159.75
19630,Meteorite Hills 001109,L6,12,2000,-79.68333,159.75
19631,Meteorite Hills 001110,H6,19,2000,-79.68333,159.75
19632,Meteorite Hills 001111,H5,36.2,2000,-79.68333,159.75
19633,Meteorite Hills 001112,H6,11.4,2000,-79.68333,159.75
19634,Meteorite Hills 001113,LL6,12.5,2000,-79.68333,159.75
19635,Meteorite Hills 001114,H5,56.6,2000,-79.68333,159.75
19636,Meteorite Hills 001115,LL6,38.6,2000,-79.68333,159.75
19637,Meteorite Hills 001116,LL6,23.1,2000,-79.68333,159.75
19638,Meteorite Hills 001117,H5,18.7,2000,-79.68333,159.75
19639,Meteorite Hills 001118,H5,11.5,2000,-79.68333,159.75
19640,Meteorite Hills 001119,LL4,18.5,2000,-79.68333,159.75
19641,Meteorite Hills 001120,H6,28.4,2000,-79.68333,159.75
19642,Meteorite Hills 001121,H5,24.4,2000,-79.68333,159.75
19643,Meteorite Hills 001122,H5,14.8,2000,-79.68333,159.75
19644,Meteorite Hills 001123,H6,32.6,2000,-79.68333,159.75
19645,Meteorite Hills 001124,H6,5.6,2000,-79.68333,159.75
19646,Meteorite Hills 001125,H6,24.6,2000,-79.68333,159.75
19647,Meteorite Hills 001126,H5,21.9,2000,-79.68333,159.75
19648,Meteorite Hills 001127,H6,17,2000,-79.68333,159.75
19649,Meteorite Hills 001128,L6,5.3,2000,-79.68333,159.75
19650,Meteorite Hills 001129,LL5,11.4,2000,-79.68333,159.75
19651,Meteorite Hills 001130,H6,54.5,2000,-79.68333,159.75
19652,Meteorite Hills 001131,H6,18.5,2000,-79.68333,159.75
19653,Meteorite Hills 001132,H6,10.5,2000,-79.68333,159.75
19654,Meteorite Hills 001133,L5,4.5,2000,-79.68333,159.75
19655,Meteorite Hills 001134,LL4,7.3,2000,-79.68333,159.75
19656,Meteorite Hills 001135,H6,3.8,2000,-79.68333,159.75
19657,Meteorite Hills 001136,"Iron, IIIAB",3.21,2000,-79.68333,155.75
19658,Meteorite Hills 001137,LL5,1.5,2000,-79.68333,159.75
19659,Meteorite Hills 001138,L5,0.4,2000,-79.68333,159.75
19660,Meteorite Hills 001139,Fusion crust,0.013,2000,-79.68333,159.75
19661,Meteorite Hills 00400,"Iron, IIIAB","4,583.80",2000,-79.68333,155.75
19662,Meteorite Hills 00401,"Iron, IIIAB",205.1,2000,-79.68333,155.75
19663,Meteorite Hills 00402,"Iron, IIIAB",82.6,2000,-79.68333,155.75
19664,Meteorite Hills 00403,"Iron, IIIAB",58.5,2000,-79.68333,155.75
19665,Meteorite Hills 00404,"Iron, IIIAB",20.7,2000,-79.68333,155.75
19666,Meteorite Hills 00405,"Iron, IIIAB",17,2000,-79.68333,155.75
19667,Meteorite Hills 00406,"Iron, IIIAB",16.1,2000,-79.68333,155.75
19668,Meteorite Hills 00407,"Iron, IIIAB",5.4,2000,-79.68333,155.75
19669,Meteorite Hills 00408,"Iron, IIIAB",18.1,2000,-79.68333,155.75
19670,Meteorite Hills 00409,"Iron, IIIAB",14,2000,-79.68333,155.75
19671,Meteorite Hills 00410,"Iron, IIIAB",3,2000,-79.68333,155.75
19672,Meteorite Hills 00411,"Iron, IIIAB",3.2,2000,-79.68333,155.75
19673,Meteorite Hills 00412,"Iron, IIIAB",8.7,2000,-79.68333,155.75
19674,Meteorite Hills 00413,"Iron, IIIAB",3.8,2000,-79.68333,155.75
19675,Meteorite Hills 00414,"Iron, IIIAB",4.8,2000,-79.68333,155.75
19676,Meteorite Hills 00415,"Iron, IIIAB",5.2,2000,-79.68333,155.75
19677,Meteorite Hills 00416,"Iron, IIIAB",4.4,2000,-79.68333,155.75
19678,Meteorite Hills 00417,"Iron, IIIAB",7.8,2000,-79.68333,155.75
19679,Meteorite Hills 00418,"Iron, IIIAB",4.8,2000,-79.68333,155.75
19680,Meteorite Hills 00419,"Iron, IIIAB",9,2000,-79.68333,155.75
19681,Meteorite Hills 00420,"Iron, IIIAB",6.3,2000,-79.68333,155.75
19682,Meteorite Hills 00421,"Iron, IIIAB",6.7,2000,-79.68333,155.75
19683,Meteorite Hills 00422,Diogenite,201.5,2000,-79.68333,155.75
19684,Meteorite Hills 00423,Howardite,79.4,2000,-79.68333,155.75
19685,Meteorite Hills 00424,Diogenite,98.9,2000,-79.68333,155.75
